Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
KT10 0AA,Yes,51.376472,-0.337396,515814,165469,TQ158654,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,16,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030320,"Elmbridge 009B"
KT10 0AB,Yes,51.379169,-0.33489,515982,165773,TQ159657,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,14,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0AD,Yes,51.37646,-0.336578,515871,165469,TQ158654,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,16,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0AE,Yes,51.378316,-0.334979,515978,165678,TQ159656,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,15,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0AF,Yes,51.376816,-0.338188,515758,165506,TQ157655,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1996-12-01,,15,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030320,"Elmbridge 009B"
KT10 0AG,Yes,51.379412,-0.333539,516075,165802,TQ160658,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,15,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0AH,Yes,51.377601,-0.332053,516183,165603,TQ161656,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,17,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0AJ,Yes,51.37758,-0.327441,516504,165608,TQ165656,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,19,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0AL,Yes,51.377087,-0.326267,516587,165555,TQ165655,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0AN,Yes,51.377043,-0.32759,516495,165548,TQ164655,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,20,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
