,yoy,cluster,Year,Type,Latitude,Longitude
11,-0.2757431433732961,0,2021,D,51.337540000000004,-0.3510205
10,0.16780045351473927,0,2020,D,51.337540000000004,-0.35118
9,-0.3398058252427184,0,2019,D,51.340921,-0.352242
8,0.14411764705882346,0,2018,D,51.337365999999996,-0.350062
7,0.04370179948586128,0,2017,D,51.337540000000004,-0.35041900000000004
6,0.20443349753694573,0,2016,D,51.337453,-0.350673
5,-0.06871165644171784,0,2015,D,51.340228,-0.35239000000000004
4,0.14404918752744833,0,2014,D,51.340951000000004,-0.35141900000000004
3,0.16565988483685223,0,2013,D,51.337540000000004,-0.35118
2,-0.2919582261939889,0,2012,D,51.337540000000004,-0.352589
1,-0.21511395348837214,0,2011,D,51.337540000000004,-0.35118
45,-0.6825396825396826,3,2021,F,51.373084999999996,-0.45173
42,-1.75,3,2020,F,51.37255,-0.451493
39,-1.6666666666666665,3,2019,F,51.3724545,-0.45196800000000004
36,-5.37,3,2018,F,51.372359,-0.45196800000000004
33,-0.5183066361556063,3,2017,F,51.3729,-0.452796
30,-1.9026128266033253,3,2016,F,51.3729,-0.45223199999999997
27,0.736842105263158,3,2015,F,51.3729,-0.45173
24,-0.2727272727272727,3,2014,F,51.3729,-0.4523555
21,0.04166666666666674,3,2013,F,51.372732,-0.4524
18,0.0040000000000000036,3,2012,F,51.372732,-0.452176
15,-0.6613545816733069,3,2011,F,51.3726295,-0.451363
46,1.2625000000000002,3,2021,S,51.374511,-0.449982
43,0.2541436464088398,3,2020,S,51.375333499999996,-0.4515315
40,-0.7577092511013216,3,2019,S,51.374649,-0.449982
37,1.727272727272727,3,2018,S,51.374511,-0.44998399999999994
34,-0.5766666666666667,3,2017,S,51.3756805,-0.4508895
31,2.2440944881889764,3,2016,S,51.373663,-0.4496055
28,0.6990291262135921,3,2015,S,51.374579999999995,-0.449118
25,-0.5714285714285714,3,2014,S,51.375322,-0.45087200000000005
22,-0.6326666666666667,3,2013,S,51.375370000000004,-0.451322
19,-0.039019963702359384,3,2012,S,51.374129499999995,-0.4514564999999999
16,0.3220018885741265,3,2011,S,51.375626,-0.450326
47,2.3666666666666667,3,2021,T,51.374266,-0.45228
44,-0.8019306930693069,3,2020,T,51.374579999999995,-0.4509165
41,-0.07773056735816042,3,2019,T,51.374288,-0.45218649999999994
38,1.7100271002710028,3,2018,T,51.373636,-0.44791499999999995
35,1.0,3,2017,T,51.374649,-0.449529
32,-0.505,3,2016,T,51.373676,-0.45018400000000003
29,0.3232323232323233,3,2015,T,51.374288,-0.4492125
26,-0.7557251908396947,3,2014,T,51.374649,-0.452358
23,0.375,3,2013,T,51.3737815,-0.45204249999999996
20,-0.25909090909090904,3,2012,T,51.374511,-0.45018400000000003
17,0.32208588957055206,3,2011,T,51.374579999999995,-0.4509165
59,-0.08045977011494254,5,2021,F,51.376754,-0.409148
58,0.1875,5,2020,F,51.375729,-0.40742
57,-0.02631578947368418,5,2019,F,51.376169,-0.40917800000000004
56,-0.36108108108108106,5,2018,F,51.3766275,-0.40916300000000005
55,0.31979695431472077,5,2017,F,51.376245,-0.40917800000000004
54,0.012820512820512775,5,2016,F,51.376546999999995,-0.409148
53,0.139240506329114,5,2015,F,51.376546999999995,-0.408996
52,-0.6611111111111111,5,2014,F,51.375769,-0.409148
51,1.622950819672131,5,2013,F,51.375749,-0.40688
50,0.4125000000000001,5,2012,F,51.376321000000004,-0.40917800000000004
49,-0.34513274336283184,5,2011,F,51.376708,-0.40742
71,-0.5339222614840989,6,2021,S,51.401378,-0.3717705
70,2.426838514025777,6,2020,S,51.402471500000004,-0.36877150000000003
69,-0.23008849557522126,6,2019,S,51.402287,-0.372136
68,0.06896551724137923,6,2018,S,51.402656,-0.372083
67,-0.09946236559139787,6,2017,S,51.402656,-0.37077950000000004
66,0.014925373134328401,6,2016,S,51.4032655,-0.3708925
65,0.1705882352941177,6,2015,S,51.401839,-0.368745
64,-0.44723618090452266,6,2014,S,51.403814499999996,-0.370771
63,0.2727272727272727,6,2013,S,51.402287,-0.372083
62,-0.1428571428571429,6,2012,S,51.401378,-0.372083
61,0.3325,6,2011,S,51.401378,-0.372136
83,-0.9289198606271777,7,2021,D,51.371198,-0.420638
82,8.607843137254902,7,2020,D,51.372178000000005,-0.42030100000000004
81,0.5178571428571428,7,2019,D,51.372178000000005,-0.42030100000000004
80,-0.07394957983193273,7,2018,D,51.369619,-0.4220115
79,-0.16152450090744097,7,2017,D,51.371198,-0.419892
78,0.4025974025974026,7,2016,D,51.376313,-0.41973299999999997
77,-0.21543209876543212,7,2015,D,51.369619,-0.42327
76,-0.18489378442171522,7,2014,D,51.371865500000006,-0.421739
75,0.20463320463320467,7,2013,D,51.374153,-0.4218455
74,-0.3389423076923077,7,2012,D,51.3722135,-0.42142549999999995
73,0.4181878787878788,7,2011,D,51.369619,-0.419892
128,-0.25,8,2021,D,51.401913,-0.35573699999999997
124,0.15104166666666674,8,2020,D,51.403835,-0.35573699999999997
120,-0.24434389140271495,8,2019,D,51.4016115,-0.355761
116,-0.19161676646706582,8,2018,D,51.403339,-0.356159
112,0.14074074074074083,8,2017,D,51.402141,-0.35594699999999996
108,-0.5909090909090908,8,2016,D,51.4033735,-0.356742
104,7.507936507936508,8,2015,D,51.401788,-0.357912
100,-0.6604477611940298,8,2014,D,51.402375000000006,-0.35483
96,-0.2120879120879121,8,2013,D,51.402141,-0.356649
92,-0.5676429567642957,8,2012,D,51.403006000000005,-0.35594699999999996
88,-0.5225483870967742,8,2011,D,51.403108,-0.35649949999999997
129,-0.5294117647058824,8,2021,F,51.401808,-0.357957
125,1.1428571428571428,8,2020,F,51.4048,-0.357957
121,0.04125000000000001,8,2019,F,51.404064,-0.357957
117,-0.4333733493397359,8,2018,F,51.401725,-0.358502
113,-0.33615819209039544,8,2017,F,51.401808,-0.358502
109,0.7021276595744681,8,2016,F,51.400586,-0.356754
105,-0.43125,8,2015,F,51.402235,-0.357155
101,0.4285714285714286,8,2014,F,51.4015715,-0.357982
97,-1.0,8,2013,F,51.401418,-0.357014
93,inf,8,2012,F,51.400335999999996,-0.35641300000000004
89,-1.1,8,2011,F,51.401808,-0.358327
130,-0.3340909090909091,8,2021,S,51.402739000000004,-0.356649
126,0.15358361774744034,8,2020,S,51.401788,-0.357957
122,-0.3047337278106509,8,2019,S,51.4048,-0.357957
118,0.5851063829787233,8,2018,S,51.402375,-0.359431
114,0.1476510067114094,8,2017,S,51.402492,-0.35792100000000004
110,-0.32163742690058483,8,2016,S,51.401808,-0.357969
106,1.0689655172413794,8,2015,S,51.401808,-0.358087
102,-0.43333333333333335,8,2014,S,51.401788,-0.356649
98,-0.3970588235294118,8,2013,S,51.402375,-0.35594699999999996
94,-0.6646341463414633,8,2012,S,51.402739000000004,-0.356159
90,2.189090909090909,8,2011,S,51.402258,-0.358047
131,0.7142857142857142,8,2021,T,51.402141,-0.358007
127,0.13083333333333336,8,2020,T,51.402141,-0.358007
