,5y_ret,cluster,Year,Type,Lat,Lon
5,0.1621099720442578,0,2015,D,51.338992777777776,-0.3511536666666667
6,-0.30511793502447704,0,2016,D,51.338992777777776,-0.3511536666666667
7,-0.5921312326669007,0,2017,D,51.338992777777776,-0.3511536666666667
8,-0.5081502970023484,0,2018,D,51.338992777777776,-0.3511536666666667
9,0.022294388682183808,0,2019,D,51.338992777777776,-0.3511536666666667
10,-0.19181236148731828,0,2020,D,51.338992777777776,-0.3511536666666667
11,0.27046531582073796,0,2021,D,51.338992777777776,-0.3511536666666667
27,0.04050112687259699,3,2015,F,51.37355608219178,-0.45120868493150684
30,-0.2751932799053216,3,2016,F,51.37355608219178,-0.45120868493150684
33,-0.37412484700122395,3,2017,F,51.37355608219178,-0.45120868493150684
36,-0.1026785714285714,3,2018,F,51.37355608219178,-0.45120868493150684
39,-0.22423963133640545,3,2019,F,51.37355608219178,-0.45120868493150684
42,-0.003555967841682106,3,2020,F,51.37355608219178,-0.45120868493150684
45,0.33657801671035315,3,2021,F,51.37355608219178,-0.45120868493150684
28,0.1683819628647214,3,2015,S,51.37355608219178,-0.45120868493150684
31,-0.02267487916528821,3,2016,S,51.37355608219178,-0.45120868493150684
34,0.10465824195055085,3,2017,S,51.37355608219178,-0.45120868493150684
37,-0.1908653846153845,3,2018,S,51.37355608219178,-0.45120868493150684
40,-0.17781582952815844,3,2019,S,51.37355608219178,-0.45120868493150684
43,-0.05659045725646128,3,2020,S,51.37355608219178,-0.45120868493150684
46,0.009856614274544429,3,2021,S,51.37355608219178,-0.45120868493150684
29,0.07752600243805685,3,2015,T,51.37355608219178,-0.45120868493150684
32,0.28557448578917666,3,2016,T,51.37355608219178,-0.45120868493150684
35,0.0625,3,2017,T,51.37355608219178,-0.45120868493150684
38,-0.013510748510748627,3,2018,T,51.37355608219178,-0.45120868493150684
41,-0.16107940012679522,3,2019,T,51.37355608219178,-0.45120868493150684
44,0.11198945981554664,3,2020,T,51.37355608219178,-0.45120868493150684
47,-0.16864927789297546,3,2021,T,51.37355608219178,-0.45120868493150684
53,-0.036169719452816995,5,2015,F,51.37714194326241,-0.4097389361702128
54,-0.1812209725253202,5,2016,F,51.37714194326241,-0.4097389361702128
55,-0.1270823798627001,5,2017,F,51.37714194326241,-0.4097389361702128
56,0.11745063879210216,5,2018,F,51.37714194326241,-0.4097389361702128
57,-0.032407570267703134,5,2019,F,51.37714194326241,-0.4097389361702128
58,-0.012409884867831122,5,2020,F,51.37714194326241,-0.4097389361702128
59,0.014051898583502087,5,2021,F,51.37714194326241,-0.4097389361702128
65,-0.06832237348010683,6,2015,S,51.402923880555555,-0.3699469166666668
66,-0.013308665552637988,6,2016,S,51.402923880555555,-0.3699469166666668
67,-0.02434972677595626,6,2017,S,51.402923880555555,-0.3699469166666668
68,0.028542510121457587,6,2018,S,51.402923880555555,-0.3699469166666668
69,-0.013191382691655651,6,2019,S,51.402923880555555,-0.3699469166666668
