,Price,Date,Year,Type,Lat,Lon,cluster
0,250000,2010-06-18,2010,S,51.40065451428571,-0.3631952285714286,19
1,280000,2010-07-02,2010,S,51.40065451428571,-0.3631952285714286,19
2,250000,2011-11-18,2011,S,51.40065451428571,-0.3631952285714286,19
3,336000,2014-06-16,2014,S,51.40065451428571,-0.3631952285714286,19
4,385050,2015-11-03,2015,S,51.40065451428571,-0.3631952285714286,19
5,545000,2020-12-18,2020,S,51.40065451428571,-0.3631952285714286,19
6,521650,2021-05-11,2021,S,51.40065451428571,-0.3631952285714286,19
7,499950,2013-07-05,2013,S,51.40065451428571,-0.3631952285714286,19
8,565000,2017-01-16,2017,S,51.40065451428571,-0.3631952285714286,19
9,795000,2020-06-18,2020,S,51.40065451428571,-0.3631952285714286,19
10,385000,2011-01-14,2011,S,51.40065451428571,-0.3631952285714286,19
11,495000,2013-03-14,2013,S,51.40065451428571,-0.3631952285714286,19
12,395000,2013-03-04,2013,S,51.40065451428571,-0.3631952285714286,19
13,540000,2013-07-25,2013,S,51.40065451428571,-0.3631952285714286,19
14,699950,2014-12-11,2014,S,51.40065451428571,-0.3631952285714286,19
15,679950,2015-07-09,2015,S,51.40065451428571,-0.3631952285714286,19
16,750000,2016-06-17,2016,S,51.40065451428571,-0.3631952285714286,19
17,730000,2018-06-12,2018,S,51.40065451428571,-0.3631952285714286,19
18,730000,2019-11-11,2019,S,51.40065451428571,-0.3631952285714286,19
19,690000,2020-02-25,2020,S,51.40065451428571,-0.3631952285714286,19
20,730000,2020-08-17,2020,S,51.40065451428571,-0.3631952285714286,19
21,308000,2010-03-30,2010,S,51.40065451428571,-0.3631952285714286,19
22,337000,2012-03-14,2012,S,51.40065451428571,-0.3631952285714286,19
23,550000,2014-01-16,2014,S,51.40065451428571,-0.3631952285714286,19
24,485000,2018-08-22,2018,S,51.40065451428571,-0.3631952285714286,19
25,460000,2019-04-26,2019,S,51.40065451428571,-0.3631952285714286,19
26,775000,2021-07-29,2021,S,51.40065451428571,-0.3631952285714286,19
27,450000,2021-06-23,2021,S,51.40065451428571,-0.3631952285714286,19
28,365500,2010-05-28,2010,S,51.40065451428571,-0.3631952285714286,19
29,390000,2010-11-12,2010,S,51.40065451428571,-0.3631952285714286,19
30,370000,2010-10-22,2010,S,51.40065451428571,-0.3631952285714286,19
31,320000,2010-02-19,2010,S,51.40065451428571,-0.3631952285714286,19
32,369950,2011-10-07,2011,S,51.40065451428571,-0.3631952285714286,19
33,354650,2011-07-11,2011,S,51.40065451428571,-0.3631952285714286,19
34,338000,2011-12-16,2011,S,51.40065451428571,-0.3631952285714286,19
35,288000,2012-04-13,2012,S,51.40065451428571,-0.3631952285714286,19
36,375000,2012-08-09,2012,S,51.40065451428571,-0.3631952285714286,19
37,403000,2013-11-01,2013,S,51.40065451428571,-0.3631952285714286,19
38,465000,2013-10-04,2013,S,51.40065451428571,-0.3631952285714286,19
39,395000,2013-06-28,2013,S,51.40065451428571,-0.3631952285714286,19
40,415000,2014-12-19,2014,S,51.40065451428571,-0.3631952285714286,19
41,500000,2014-05-09,2014,S,51.40065451428571,-0.3631952285714286,19
42,397500,2015-05-28,2015,S,51.40065451428571,-0.3631952285714286,19
43,400000,2015-07-31,2015,S,51.40065451428571,-0.3631952285714286,19
44,645000,2016-08-26,2016,S,51.40065451428571,-0.3631952285714286,19
45,530000,2016-02-26,2016,S,51.40065451428571,-0.3631952285714286,19
46,448000,2016-11-29,2016,S,51.40065451428571,-0.3631952285714286,19
47,555000,2017-10-16,2017,S,51.40065451428571,-0.3631952285714286,19
48,540000,2018-10-01,2018,S,51.40065451428571,-0.3631952285714286,19
49,362500,2019-08-01,2019,S,51.40065451428571,-0.3631952285714286,19
50,575000,2019-09-20,2019,S,51.40065451428571,-0.3631952285714286,19
51,610000,2020-12-03,2020,S,51.40065451428571,-0.3631952285714286,19
52,630000,2020-09-25,2020,S,51.40065451428571,-0.3631952285714286,19
53,635000,2020-01-10,2020,S,51.40065451428571,-0.3631952285714286,19
54,260000,2010-03-31,2010,S,51.40065451428571,-0.3631952285714286,19
55,275000,2013-11-22,2013,S,51.40065451428571,-0.3631952285714286,19
56,468000,2017-11-24,2017,S,51.40065451428571,-0.3631952285714286,19
57,350000,2017-05-25,2017,S,51.40065451428571,-0.3631952285714286,19
58,475000,2018-08-06,2018,S,51.40065451428571,-0.3631952285714286,19
59,468000,2021-06-28,2021,S,51.40065451428571,-0.3631952285714286,19
60,265000,2010-02-03,2010,S,51.40065451428571,-0.3631952285714286,19
61,375000,2010-12-03,2010,S,51.40065451428571,-0.3631952285714286,19
62,575000,2020-07-24,2020,S,51.40065451428571,-0.3631952285714286,19
63,292000,2010-03-26,2010,S,51.40065451428571,-0.3631952285714286,19
64,380000,2010-04-07,2010,S,51.40065451428571,-0.3631952285714286,19
65,365000,2011-03-31,2011,S,51.40065451428571,-0.3631952285714286,19
66,312500,2012-08-15,2012,S,51.40065451428571,-0.3631952285714286,19
67,400000,2014-01-08,2014,S,51.40065451428571,-0.3631952285714286,19
68,430000,2015-05-15,2015,S,51.40065451428571,-0.3631952285714286,19
69,497500,2017-10-09,2017,S,51.40065451428571,-0.3631952285714286,19
70,515000,2017-11-30,2017,S,51.40065451428571,-0.3631952285714286,19
71,500000,2019-12-06,2019,S,51.40065451428571,-0.3631952285714286,19
72,410000,2019-10-17,2019,S,51.40065451428571,-0.3631952285714286,19
73,387500,2010-05-07,2010,S,51.40065451428571,-0.3631952285714286,19
74,549950,2010-07-15,2010,S,51.40065451428571,-0.3631952285714286,19
75,425000,2010-08-06,2010,S,51.40065451428571,-0.3631952285714286,19
76,374000,2011-12-02,2011,S,51.40065451428571,-0.3631952285714286,19
77,437500,2011-11-10,2011,S,51.40065451428571,-0.3631952285714286,19
78,478500,2012-05-24,2012,S,51.40065451428571,-0.3631952285714286,19
79,480000,2012-10-08,2012,S,51.40065451428571,-0.3631952285714286,19
80,495000,2012-01-20,2012,S,51.40065451428571,-0.3631952285714286,19
81,435000,2013-12-16,2013,S,51.40065451428571,-0.3631952285714286,19
82,625000,2014-12-12,2014,S,51.40065451428571,-0.3631952285714286,19
83,610000,2014-10-24,2014,S,51.40065451428571,-0.3631952285714286,19
84,640000,2014-05-21,2014,S,51.40065451428571,-0.3631952285714286,19
85,635000,2014-10-17,2014,S,51.40065451428571,-0.3631952285714286,19
86,510000,2015-04-21,2015,S,51.40065451428571,-0.3631952285714286,19
87,650000,2015-01-23,2015,S,51.40065451428571,-0.3631952285714286,19
