,5y_ret,5y_ret_ward,Price,Year,Type,Ward
80,0.2427107129042998,0.47857142857142865,1035000.0,2015,D,Claygate
96,0.029131652661064544,0.3529411764705883,1035000.0,2016,D,Claygate
112,0.014149713093374983,0.352112676056338,1200000.0,2017,D,Claygate
128,-0.21455277538107564,0.05737704918032782,967500.0,2018,D,Claygate
144,-0.25416943364007216,-0.15180722891566267,880000.0,2019,D,Claygate
160,-0.10276763653796506,0.04227053140096615,1078750.0,2020,D,Claygate
176,-0.04973412574288405,0.08695652173913038,1125000.0,2021,D,Claygate
272,-0.01754385964912286,0.27192982456140347,362500.0,2015,F,Claygate
288,-0.4513513513513512,0.013513513513513598,375000.0,2016,F,Claygate
304,-0.47064894497150755,-0.0011752607609812893,339950.0,2017,F,Claygate
320,-0.10702614379084974,0.26797385620915026,485000.0,2018,F,Claygate
336,0.16788623205576636,0.41212586339217183,460000.0,2019,F,Claygate
352,-0.012385643912737443,0.08965517241379306,395000.0,2020,F,Claygate
368,-0.0756900369003689,-0.07199999999999995,348000.0,2021,F,Claygate
464,0.10970064418340275,0.48901098901098905,677500.0,2015,S,Claygate
480,-0.1324194084413428,0.34215686274509793,684500.0,2016,S,Claygate
496,0.1834254670224933,0.6424418604651163,706250.0,2017,S,Claygate
512,-0.20489188231123712,0.17972350230414746,640000.0,2018,S,Claygate
528,0.09488258317025422,0.29214285714285704,723600.0,2019,S,Claygate
544,-0.1291697416974169,0.02583025830258312,695000.0,2020,S,Claygate
560,-0.05577525335214073,0.059167275383491535,725000.0,2021,S,Claygate
656,-0.09065301140529236,0.22961104140526967,490000.0,2015,T,Claygate
672,-0.2572138900353911,0.21308016877637126,460000.0,2016,T,Claygate
688,-0.06363636363636371,0.4363636363636363,474000.0,2017,T,Claygate
704,0.05991582491582492,0.4545454545454546,560000.0,2018,T,Claygate
720,-0.16148208469055358,0.06000000000000005,530000.0,2019,T,Claygate
736,0.13450834879406304,0.3163265306122449,645000.0,2020,T,Claygate
752,0.18330375628512274,0.2717391304347827,585000.0,2021,T,Claygate
81,0.4337045017241754,0.6695652173913043,1344000.0,2015,D,Cobham and Downside
97,-0.14411027568922297,0.1796992481203008,1176750.0,2016,D,Cobham and Downside
113,0.12870370370370354,0.46666666666666656,1320000.0,2017,D,Cobham and Downside
129,-0.09753466327108096,0.1743951612903225,1165000.0,2018,D,Cobham and Downside
145,-0.22785240080284086,-0.12549019607843137,1115000.0,2019,D,Cobham and Downside
161,-0.3079845965103598,-0.1629464285714286,1125000.0,2020,D,Cobham and Downside
177,-0.13392880341997926,0.002761844062035168,1180000.0,2021,D,Cobham and Downside
273,-0.012687969924812137,0.2767857142857142,357500.0,2015,F,Cobham and Downside
289,-0.2861414606095456,0.17872340425531918,277000.0,2016,F,Cobham and Downside
305,-0.43706261701685034,0.032411067193675924,326500.0,2017,F,Cobham and Downside
321,-0.02178899082568808,0.3532110091743119,295000.0,2018,F,Cobham and Downside
337,0.6945358788676761,0.9387755102040816,475000.0,2019,F,Cobham and Downside
353,0.05879834451263033,0.16083916083916083,415000.0,2020,F,Cobham and Downside
369,0.14251934938121957,0.14620938628158853,317500.0,2021,F,Cobham and Downside
465,0.039356321839080444,0.41866666666666674,532000.0,2015,S,Cobham and Downside
481,-0.02471177254145429,0.44986449864498645,535000.0,2016,S,Cobham and Downside
