,1y_ret,1y_ret_ward,Price,Year,Type,Ward
16,0.1022817600705127,0.09285714285714275,765000.0,2011,D,Claygate
32,0.13155929038282,0.16013071895424846,887500.0,2012,D,Claygate
48,-0.024569640062597875,0.030985915492957705,915000.0,2013,D,Claygate
64,0.01984469370146691,0.13387978142076506,1037500.0,2014,D,Claygate
80,-0.03390570154634276,-0.002409638554216831,1035000.0,2015,D,Claygate
96,-0.06106870229007644,0.0,1035000.0,2016,D,Claygate
112,0.11985194453133152,0.1594202898550725,1200000.0,2017,D,Claygate
128,-0.19721020761245678,-0.19374999999999998,967500.0,2018,D,Claygate
144,-0.055956517865098476,-0.09043927648578809,880000.0,2019,D,Claygate
160,0.1544237012987013,0.2258522727272727,1078750.0,2020,D,Claygate
176,-0.010459636925453708,0.042873696407879525,1125000.0,2021,D,Claygate
208,0.32456140350877194,0.29824561403508776,370000.0,2011,F,Claygate
224,-0.10716216216216212,-0.08013513513513515,340350.0,2012,F,Claygate
240,0.07121152374104067,0.12384310268840903,382500.0,2013,F,Claygate
256,-0.23336601307189542,-0.14836601307189545,325750.0,2014,F,Claygate
272,-0.016215680934815513,0.11281657712970072,362500.0,2015,F,Claygate
288,-0.07163969035890205,0.034482758620689724,375000.0,2016,F,Claygate
304,-0.12372496924969256,-0.0934666666666667,339950.0,2017,F,Claygate
320,0.44172337411830753,0.4266803941756141,485000.0,2018,F,Claygate
336,-0.03336457357075917,-0.05154639175257736,460000.0,2019,F,Claygate
352,-0.14130434782608692,-0.14130434782608692,395000.0,2020,F,Claygate
368,-0.12639474917955917,-0.11898734177215187,348000.0,2021,F,Claygate
400,0.10363774156877614,0.1208791208791209,510000.0,2011,S,Claygate
416,-0.19076105018278489,-0.1568627450980392,430000.0,2012,S,Claygate
432,0.19605413648494086,0.2616279069767442,542500.0,2013,S,Claygate
448,-0.09081885856079408,0.032258064516129004,560000.0,2014,S,Claygate
464,0.11393101761252455,0.2098214285714286,677500.0,2015,S,Claygate
480,-0.07716789667896662,0.010332103321033292,684500.0,2016,S,Claygate
496,0.00878651251437823,0.03177501826150464,706250.0,2017,S,Claygate
512,-0.10504126479069309,-0.09380530973451329,640000.0,2018,S,Claygate
528,0.15951388888888884,0.130625,723600.0,2019,S,Claygate
544,-0.0967328372123617,-0.03952459922609175,695000.0,2020,S,Claygate
560,-0.006618082157650473,0.043165467625899234,725000.0,2021,S,Claygate
592,-0.04843161856963618,-0.04843161856963618,379200.0,2011,T,Claygate
608,-0.12994687545103956,-0.129746835443038,330000.0,2012,T,Claygate
624,0.08666666666666667,0.16666666666666674,385000.0,2013,T,Claygate
640,0.16166426166426162,0.2987012987012987,500000.0,2014,T,Claygate
656,-0.09491856677524435,-0.020000000000000018,490000.0,2015,T,Claygate
672,-0.17486085343228186,-0.061224489795918324,460000.0,2016,T,Claygate
688,0.010026619343389553,0.0304347826086957,474000.0,2017,T,Claygate
704,0.17730126582278483,0.18143459915611815,560000.0,2018,T,Claygate
720,-0.04944183090843568,-0.0535714285714286,530000.0,2019,T,Claygate
736,0.17696726522391382,0.21698113207547176,645000.0,2020,T,Claygate
752,-0.11866428145497909,-0.09302325581395354,585000.0,2021,T,Claygate
17,0.2485550519959786,0.23913043478260865,997500.0,2011,D,Cobham and Downside
33,-0.12631578947368416,-0.09774436090225569,900000.0,2012,D,Cobham and Downside
49,0.046666666666666634,0.10222222222222221,992000.0,2013,D,Cobham and Downside
