,3y_ret,cluster,Year,Type,Lat,Lon
3,0.35631071501993405,0,2013,D,51.338992777777776,-0.3511536666666667
4,-0.120925678682688,0,2014,D,51.338992777777776,-0.3511536666666667
5,-0.346204438532675,0,2015,D,51.338992777777776,-0.3511536666666667
6,-0.361030529078602,0,2016,D,51.338992777777776,-0.3511536666666667
7,-0.22175818767846323,0,2017,D,51.338992777777776,-0.3511536666666667
8,-0.32461216449150454,0,2018,D,51.338992777777776,-0.3511536666666667
9,0.1946406177810045,0,2019,D,51.338992777777776,-0.3511536666666667
10,0.06971653538200107,0,2020,D,51.338992777777776,-0.3511536666666667
11,0.4915819409882687,0,2021,D,51.338992777777776,-0.3511536666666667
21,0.07583189712316063,3,2013,F,51.37355608219178,-0.45120868493150684
24,0.01693659389994462,3,2014,F,51.37355608219178,-0.45120868493150684
27,-0.06156670746634019,3,2015,F,51.37355608219178,-0.45120868493150684
30,-0.23915178571428575,3,2016,F,51.37355608219178,-0.45120868493150684
33,-0.3446359447004608,3,2017,F,51.37355608219178,-0.45120868493150684
36,-0.04290352504638206,3,2018,F,51.37355608219178,-0.45120868493150684
39,0.02389407770853058,3,2019,F,51.37355608219178,-0.45120868493150684
42,0.2643737947061364,3,2020,F,51.37355608219178,-0.45120868493150684
45,0.18634768740031904,3,2021,F,51.37355608219178,-0.45120868493150684
22,0.11007957559681714,3,2013,S,51.37355608219178,-0.45120868493150684
25,0.4424692327869024,3,2014,S,51.37355608219178,-0.45120868493150684
28,0.2010790932461779,3,2015,S,51.37355608219178,-0.45120868493150684
31,-0.17158653846153826,3,2016,S,51.37355608219178,-0.45120868493150684
34,-0.2562151192288179,3,2017,S,51.37355608219178,-0.45120868493150684
37,-0.17569582504970183,3,2018,S,51.37355608219178,-0.45120868493150684
40,0.17483454309267432,3,2019,S,51.37355608219178,-0.45120868493150684
43,0.024297752808988715,3,2020,S,51.37355608219178,-0.45120868493150684
46,0.02169866201279813,3,2021,S,51.37355608219178,-0.45120868493150684
23,-0.02680904505026227,3,2013,T,51.37355608219178,-0.45120868493150684
26,0.17081538373402383,3,2014,T,51.37355608219178,-0.45120868493150684
29,0.0752205882352941,3,2015,T,51.37355608219178,-0.45120868493150684
32,0.2735042735042734,3,2016,T,51.37355608219178,-0.45120868493150684
35,-0.08055877402006884,3,2017,T,51.37355608219178,-0.45120868493150684
38,-0.10021739130434781,3,2018,T,51.37355608219178,-0.45120868493150684
41,-0.17547477172687254,3,2019,T,51.37355608219178,-0.45120868493150684
44,0.11529411764705877,3,2020,T,51.37355608219178,-0.45120868493150684
47,0.026331668764885796,3,2021,T,51.37355608219178,-0.45120868493150684
51,-0.10439369348481331,5,2013,F,51.37714194326241,-0.4097389361702128
52,-0.08808684460858385,5,2014,F,51.37714194326241,-0.4097389361702128
53,-0.05251716247139582,5,2015,F,51.37714194326241,-0.4097389361702128
54,0.08518583042973282,5,2016,F,51.37714194326241,-0.4097389361702128
55,-0.10820083019664395,5,2017,F,51.37714194326241,-0.4097389361702128
56,0.006725009863347786,5,2018,F,51.37714194326241,-0.4097389361702128
57,0.027883585287465706,5,2019,F,51.37714194326241,-0.4097389361702128
58,0.03699987239423219,5,2020,F,51.37714194326241,-0.4097389361702128
59,-0.006989741775734082,5,2021,F,51.37714194326241,-0.4097389361702128
63,-0.09352382195170827,6,2013,S,51.402923880555555,-0.3699469166666668
64,0.07116256863213177,6,2014,S,51.402923880555555,-0.3699469166666668
65,-0.01814207650273225,6,2015,S,51.402923880555555,-0.3699469166666668
66,0.026670040485829993,6,2016,S,51.402923880555555,-0.3699469166666668
67,-0.06094342126605423,6,2017,S,51.402923880555555,-0.3699469166666668
68,-0.017783505154639112,6,2018,S,51.402923880555555,-0.3699469166666668
69,0.0556432627059964,6,2019,S,51.402923880555555,-0.3699469166666668
70,-0.11817436615011911,6,2020,S,51.402923880555555,-0.3699469166666668
71,-0.0428615766604592,6,2021,S,51.402923880555555,-0.3699469166666668
75,-0.13077596181539997,7,2013,D,51.3724165,-0.42225552631578944
