,3y_ret,3y_ret_ward,Price,Year,Type,Ward
48,0.23166101297451602,0.30714285714285716,915000.0,2013,D,Claygate
64,0.146685340802988,0.35620915032679745,1037500.0,2014,D,Claygate
80,-0.04676577986437147,0.16619718309859155,1035000.0,2015,D,Claygate
96,-0.08815070463042862,0.13114754098360648,1035000.0,2016,D,Claygate
112,0.018831230433545176,0.15662650602409633,1200000.0,2017,D,Claygate
128,-0.17208762031198133,-0.06521739130434778,967500.0,2018,D,Claygate
144,-0.1569526987105967,-0.1497584541062802,880000.0,2019,D,Claygate
160,-0.13910395040369083,-0.1010416666666667,1078750.0,2020,D,Claygate
176,0.07313552526062561,0.16279069767441867,1125000.0,2021,D,Claygate
240,0.2894736842105263,0.3421052631578947,382500.0,2013,F,Claygate
256,-0.29256756756756763,-0.11959459459459465,325750.0,2014,F,Claygate
272,-0.22439361957118442,0.0650800646393419,362500.0,2015,F,Claygate
288,-0.3746078431372549,-0.019607843137254943,375000.0,2016,F,Claygate
304,-0.2430442332653111,0.043591711435149616,339950.0,2017,F,Claygate
320,0.21548205489092198,0.33793103448275863,485000.0,2018,F,Claygate
336,0.23035670356703553,0.22666666666666657,460000.0,2019,F,Claygate
352,0.19488686815986345,0.1619355787615826,395000.0,2020,F,Claygate
368,-0.27156513589503284,-0.2824742268041237,348000.0,2021,F,Claygate
432,0.07161803713527859,0.1923076923076923,542500.0,2013,S,Claygate
448,-0.13924891990694577,0.0980392156862746,560000.0,2014,S,Claygate
464,0.26410598551277165,0.5755813953488371,677500.0,2015,S,Claygate
480,-0.07671038638780558,0.2617511520737328,684500.0,2016,S,Claygate
496,0.04198263209393338,0.2611607142857142,706250.0,2017,S,Claygate
512,-0.18035055350553508,-0.05535055350553508,640000.0,2018,S,Claygate
528,0.052524285702291174,0.057121986851716544,723600.0,2019,S,Claygate
544,-0.05413145073083425,-0.015929203539822967,695000.0,2020,S,Claygate
560,0.055034722222222276,0.1328125,725000.0,2021,S,Claygate
624,-0.11409308210450109,-0.03387703889585947,385000.0,2013,T,Claygate
640,0.09031975171405593,0.31856540084388185,500000.0,2014,T,Claygate
656,0.1648484848484848,0.48484848484848486,490000.0,2015,T,Claygate
672,-0.1663059163059164,0.19480519480519476,460000.0,2016,T,Claygate
688,-0.27349837133550503,-0.052000000000000046,474000.0,2017,T,Claygate
704,0.0017965367965366852,0.1428571428571428,560000.0,2018,T,Claygate
720,0.131779355220349,0.15217391304347827,530000.0,2019,T,Claygate
736,0.32075949367088596,0.360759493670886,645000.0,2020,T,Claygate
752,-0.017633069028965886,0.044642857142857206,585000.0,2021,T,Claygate
49,0.15681629247762152,0.23229813664596266,992000.0,2013,D,Cobham and Downside
65,0.0686716791979951,0.27819548872180455,1275000.0,2014,D,Cobham and Downside
81,0.2803703703703704,0.4933333333333334,1344000.0,2015,D,Cobham and Downside
97,-0.03305832625919636,0.18623991935483875,1176750.0,2016,D,Cobham and Downside
113,-0.10250115794349224,0.03529411764705892,1320000.0,2017,D,Cobham and Downside
129,-0.24005475281715738,-0.13318452380952384,1165000.0,2018,D,Cobham and Downside
145,-0.05966928178298658,-0.05247503717867008,1115000.0,2019,D,Cobham and Downside
161,-0.18578955646429685,-0.1477272727272727,1125000.0,2020,D,Cobham and Downside
177,-0.07677963593310633,0.012875536480686733,1180000.0,2021,D,Cobham and Downside
241,-0.2740601503759398,-0.22142857142857142,218000.0,2013,F,Cobham and Downside
257,-0.13041978148361122,0.042553191489361764,245000.0,2014,F,Cobham and Downside
273,-0.15903890160183076,0.13043478260869557,357500.0,2015,F,Cobham and Downside
289,-0.08435779816513755,0.27064220183486243,277000.0,2016,F,Cobham and Downside
305,0.04601711652402907,0.3326530612244898,326500.0,2017,F,Cobham and Downside
321,-0.29727415441701144,-0.1748251748251748,295000.0,2018,F,Cobham and Downside
337,0.7184914809436902,0.7148014440433212,475000.0,2019,F,Cobham and Downside
353,0.3040079509603022,0.27105666156202135,415000.0,2020,F,Cobham and Downside
369,0.08718027734976885,0.07627118644067798,317500.0,2021,F,Cobham and Downside
433,0.15264367816091973,0.27333333333333343,477500.0,2013,S,Cobham and Downside
449,0.10417527904092605,0.3414634146341464,495000.0,2014,S,Cobham and Downside
465,-0.1292531876138432,0.18222222222222229,532000.0,2015,S,Cobham and Downside
481,-0.21804269029399914,0.12041884816753923,535000.0,2016,S,Cobham and Downside
497,0.015165352151653488,0.2343434343434343,611000.0,2017,S,Cobham and Downside
513,-0.119360902255639,0.005639097744360999,535000.0,2018,S,Cobham and Downside
529,0.03428080352347185,0.03887850467289722,555800.0,2019,S,Cobham and Downside
545,-0.12985527501425187,-0.09165302782324058,555000.0,2020,S,Cobham and Downside
561,0.10913811007268959,0.1869158878504673,635000.0,2021,S,Cobham and Downside
625,0.14705668406408567,0.2272727272727273,405000.0,2013,T,Cobham and Downside
641,0.04011372587017403,0.26835937499999996,405875.0,2014,T,Cobham and Downside
657,0.17230769230769227,0.49230769230769234,485000.0,2015,T,Cobham and Downside
673,-0.2450617283950618,0.11604938271604937,452000.0,2016,T,Cobham and Downside
689,0.2789635935551633,0.5004619648906683,609000.0,2017,T,Cobham and Downside
705,-0.15136988441112154,-0.010309278350515427,480000.0,2018,T,Cobham and Downside
